date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:14	293/293	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202017%2022:04:14%20GMT	http://localhost/robots.txt		(from )
18:04:16	37414/37414	---MC-	200	added ('OK')	text/html	date:Sat,%2015%20Apr%202017%2022:04:14%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/qwe/localhost/wordpress/index.html	(from )
18:04:16	59235/59235	---M--	200	added ('OK')	text/css	etag:%22e763-54d3503ef4ebc%22	http://localhost/wordpress/wp-content/themes/advance/style.css?ver=4.7.3	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/stylefe9d.css	(from http://localhost/wordpress/)
18:04:18	726/726	---M--	200	added ('OK')	application/rss+xml	etag:%2210c9e3029145a46b1b324ffe330e8153%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/qwe/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
18:04:18	3735/3735	---M--	200	added ('OK')	application/rss+xml	etag:%222cea82dc8b4c9521ed2d3bf6decf4b82%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/qwe/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
18:04:18	29065/29065	---M--	200	added ('OK')	text/css	etag:%227189-54d3503e30639%22	http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/css/font-awesome.min.css?ver=1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/fonts/awesome/css/font-awesome.min68b3.css	(from http://localhost/wordpress/)
18:04:18	61502/61502	---M--	200	added ('OK')	text/css	etag:%22f03e-54d3503e29cae%22	http://localhost/wordpress/wp-content/themes/advance/css/foundation.css?ver=1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/css/foundation68b3.css	(from http://localhost/wordpress/)
18:04:20	59839/59839	---M--	200	added ('OK')	text/css	etag:%22e9bf-54d3503e26f0f%22	http://localhost/wordpress/wp-content/themes/advance/css/animate.css?ver=1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/css/animate68b3.css	(from http://localhost/wordpress/)
18:04:22	7802/7802	---M--	200	added ('OK')	text/css	etag:%221e7a-54d3503e26549%22	http://localhost/wordpress/wp-content/themes/advance/css/advance-mobile.css?ver=1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/css/advance-mobile68b3.css	(from http://localhost/wordpress/)
18:04:22	0/0	---M--	200	added ('OK')	text/css	etag:%220-54d3503e5aea8%22	http://localhost/wordpress/wp-content/themes/advance/inc/kirki/assets/css/kirki-styles.css	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/inc/kirki/assets/css/kirki-styles.css	(from http://localhost/wordpress/)
18:04:24	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400%22	http://localhost/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/wordpress/)
18:04:24	7144/7144	---M--	200	added ('OK')	application/javascript	etag:%221be8-54d2482b7d702%22	http://localhost/wordpress/wp-content/plugins/sticky-menu-or-anything-on-scroll/assets/js/jq-sticky-anything.min.js?ver=2.0.1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/sticky-menu-or-anything-on-scroll/assets/js/jq-sticky-anything.min7406.js	(from http://localhost/wordpress/)
18:04:24	5152/5152	---M--	200	added ('OK')	application/javascript	etag:%221420-54d3503ee44ec%22	http://localhost/wordpress/wp-content/themes/advance/js/advance.js?ver=1	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/js/advance68b3.js	(from http://localhost/wordpress/)
